_id,ltable_id,rtable_id,ltable_title,ltable_release_year,rtable_title,rtable_release_year
3,0,39,Undertale,2015,Undertale,2015
432,3,1,Grand Theft Auto V,2015,Grand Theft Auto V,2015
436,3,59,Grand Theft Auto V,2015,Metal Gear Solid V: The Phantom Pain,2015
467,3,487,Grand Theft Auto V,2015,Hearthstone: The Grand Tournament,2015
728,3,2758,Grand Theft Auto V,2015,FIM Speedway Grand Prix 15,2015
799,3,3284,Grand Theft Auto V,2015,Grand Ages: Medieval,2015
864,4,1,Metal Gear Solid V: The Phantom Pain,2015,Grand Theft Auto V,2015
868,4,59,Metal Gear Solid V: The Phantom Pain,2015,Metal Gear Solid V: The Phantom Pain,2015
897,4,467,Metal Gear Solid V: The Phantom Pain,2015,Guilty Gear Xrd -SIGN-,2015
1020,4,1699,Metal Gear Solid V: The Phantom Pain,2015,Guilty Gear XX Accent Core Plus R,2015
1218,4,3193,Metal Gear Solid V: The Phantom Pain,2015,Phantom Breaker: Battle Grounds,2015
1335,41,519,Fallout 4,2015,Fallout 4,2015
1392,41,1160,Fallout 4,2015,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,2015
1432,41,1552,Fallout 4,2015,Life is Strange: Episode 4 - Dark Room,2015
1493,41,1974,Fallout 4,2015,Resident Evil: Revelations 2 - Episode 4: Metamorphosis,2015
1501,41,2042,Fallout 4,2015,The Sims 4: Get to Work,2015
1522,41,2184,Fallout 4,2015,Way of the Samurai 4,2015
1523,41,2185,Fallout 4,2015,Devil May Cry 4: Special Edition,2015
1528,41,2209,Fallout 4,2015,The Sims 4: Get Together,2015
1593,41,2759,Fallout 4,2015,Minecraft: Story Mode - Episode 4: A Block and a Hard Place,2015
1612,41,2919,Fallout 4,2015,The Sims 4: Outdoor Retreat,2015
1661,41,3269,Fallout 4,2015,Republique: Episode 4 - God's Acre,2015
1748,89,319,Grim Fandango Remastered,2015,Homeworld Remastered Collection,2015
1766,89,515,Grim Fandango Remastered,2015,Grim Fandango Remastered,2015
2035,89,2844,Grim Fandango Remastered,2015,Turok Remastered,2015
2047,89,2941,Grim Fandango Remastered,2015,Disney DuckTales Remastered,2015
2110,89,3449,Grim Fandango Remastered,2015,Fahrenheit: Indigo Prophecy Remastered,2015
2162,112,20,The Witcher 3: Wild Hunt,2015,The Witcher 3: Wild Hunt,2015
2166,112,121,The Witcher 3: Wild Hunt,2015,The Witcher 3: Wild Hunt - Hearts of Stone,2015
2221,112,828,The Witcher 3: Wild Hunt,2015,Tales From The Borderlands: Episode 3 - Catch A Ride,2015
2245,112,1021,The Witcher 3: Wild Hunt,2015,Life is Strange: Episode 3 - Chaos Theory,2015
2263,112,1231,The Witcher 3: Wild Hunt,2015,Resident Evil: Revelations 2 - Episode 3: Judgment,2015
2269,112,1335,The Witcher 3: Wild Hunt,2015,AR-K Episode 3: The Great Escape,2015
2315,112,1698,The Witcher 3: Wild Hunt,2015,Rebuild 3: Gangs of Deadsville,2015
2331,112,1808,The Witcher 3: Wild Hunt,2015,Just Cause 3,2015
2354,112,1938,The Witcher 3: Wild Hunt,2015,The Crew: Wild Run,2015
2362,112,2024,The Witcher 3: Wild Hunt,2015,Minecraft: Story Mode - Episode 3: The Last Place You Look,2015
2452,112,2738,The Witcher 3: Wild Hunt,2015,Five Nights at Freddy's 3,2015
2454,112,2743,The Witcher 3: Wild Hunt,2015,Trine 3: The Artifacts of Power,2015
2534,112,3375,The Witcher 3: Wild Hunt,2015,One Piece: Pirate Warriors 3,2015
2597,220,62,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Out of the Park Baseball 16,2015
2598,220,121,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,The Witcher 3: Wild Hunt - Hearts of Stone,2015
2599,220,127,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Pillars of Eternity,2015
2600,220,138,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Shovel Knight: Plague of Shadows,2015
2603,220,203,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Starcraft II: Legacy of the Void,2015
2606,220,230,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Crypt of the NecroDancer,2015
2608,220,274,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015
2613,220,348,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,Heroes of the Storm,2015
2617,220,390,Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015,The Binding of Isaac: Afterbirth,2015
