id,title,release_day,release_year,esrb,genre,publisher,developer,META_rating,META_user_rating,IGN_rating,IGN_user_rating
0,Half-Life 2,Nov 16,2004,M,Action,VU Games,Valve Software,96,9.1,9.7,9.4
1,Grand Theft Auto V,Apr 14,2015,M,Modern,Rockstar Games,Rockstar North,96,7.8,10,9.3
2,The Orange Box,Oct 10,2007,M,Action,EA Games,Valve Software,96,9.3,9.5,9.5
3,Half-Life,Oct 31,1998,M,Action,Sierra Entertainment,Valve Software,96,9.1,9.5,9.1
4,BioShock,Aug 21,2007,M,Action,2K Games,Irrational Games 2K Marin,96,8.5,9.7,9.1
5,Baldur's Gate II: Shadows of Amn,Sep 24,2000,T,Role-Playing,Interplay,BioWare,95,9.2,9.4,9.2
6,The Elder Scrolls V: Skyrim,Nov 11,2011,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios,94,8.1,9.5,9.3
7,Mass Effect 2,Jan 26,2010,M,Role-Playing,Electronic Arts,BioWare,94,8.8,9.6,9.5
8,Mass Effect 2,Jan 26,2010,M,Role-Playing,Electronic Arts,BioWare,94,8.8,9,8.7
9,Grand Theft Auto: Vice City,May 12,2003,M,Action Adventure,Rockstar Games,Rockstar North,94,8.8,9.3,9
10,BioShock Infinite,Mar 26,2013,M,Action,2K Games,Irrational Games,94,8.5,9.5,9.4
11,The Elder Scrolls IV: Oblivion,Mar 20,2006,M,Role-Playing,2K Games,Bethesda Softworks,94,8.1,9.3,9.2
12,Grim Fandango,Sep 30,1998,T,Adventure,LucasArts,LucasArts,94,9.1,9.4,9.2
13,Sid Meier's Civilization IV,Oct 25,2005,E10+,Strategy,2K Games,Firaxis Games,94,8.2,9.4,9.1
14,The Witcher 3: Wild Hunt,May 19,2015,M,Role-Playing,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,93,9.3,9.3,9.6
15,Company of Heroes,Sep 13,2006,M,Strategy,THQ,Relic,93,8.8,9.4,9.1
16,Unreal Tournament 2004,Mar 16,2004,M,Action,Atari,Epic Games,93,8.9,9.4,9
17,Minecraft,May 10,2009,,Action Adventure,Mojang AB,Mojang AB,93,7.4,9,9
18,Homeworld,Aug 31,1999,E,Strategy,Sierra Entertainment,Relic,93,9,9.5,9
19,Grand Theft Auto III,May 20,2002,M,Action Adventure,Rockstar Games,DMA Design Rockstar North,93,8.4,9.4,8.9
20,Star Wars: Knights of the Old Republic,Nov 18,2003,T,Role-Playing,LucasArts,BioWare,93,9,9,9.3
21,World of Warcraft,Nov 23,2004,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,93,7.3,9.1,8.9
22,Grand Theft Auto: San Andreas,Jun  7,2005,M,Action Adventure,Rockstar Games,Rockstar North,93,8.9,9.3,9.1
23,Call of Duty 4: Modern Warfare,Nov  5,2007,M,Action,Activision,Infinity Ward,92,8.5,9.4,9.1
24,Warcraft III: Reign of Chaos,Jul  3,2002,T,Strategy,Blizzard Entertainment,Blizzard Entertainment,92,9.1,9.3,9
25,The Sims,Jan 31,2000,T,Simulation,Maxis,Maxis,92,7.9,9.5,8.6
26,System Shock 2,Aug 11,1999,M,Action Adventure,Looking Glass Studios,Looking Glass Studios Irrational Games,92,9.1,9,9
27,Tom Clancy's Splinter Cell: Chaos Theory,Mar 28,2005,M,Action Adventure,Ubisoft,Ubisoft Montreal,92,8.8,9.6,9
28,Undertale,Sep 15,2015,,Role-Playing,tobyfox,tobyfox,92,8.2,10,9.1
29,Rome: Total War,Sep 22,2004,T,Strategy,Activision,Creative Assembly,92,9.1,9.4,9.1
30,Thief: The Dark Project,Nov 30,1998,M,Action Adventure,Eidos Interactive,Looking Glass Studios,92,9.1,8.9,8.7
31,Age of Empires II: The Age of Kings,Sep 30,1999,T,Strategy,Microsoft Game Studios,Ensemble Studios,92,9,8.8,8.8
32,Sid Meier's Alpha Centauri,Feb 12,1999,E,Strategy,Electronic Arts,Firaxis Games,92,9.1,9.5,8.9
33,Sid Meier's Alpha Centauri,Feb 12,1999,E,Strategy,Electronic Arts,Firaxis Games,92,9.1,9.5,8.9
34,Galactic Civilizations II: Twilight of the Arnor,Apr 30,2008,,Strategy,Stardock,Stardock,92,8.4,9.1,8.5
35,The Witcher 3: Wild Hunt - Blood and Wine,May 30,2016,M,Role-Playing,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,92,9.2,9,9.9
36,Tiger Woods PGA Tour 2003,Oct 31,2002,E,Sports,Electronic Arts,Headgate,92,5.8,9,8.6
37,Tiger Woods PGA Tour 2003,Oct 31,2002,E,Sports,Electronic Arts,Headgate,92,5.8,8.2,8.3
38,Medal of Honor: Allied Assault,Jan 20,2002,T,Action,Electronic Arts,2015,91,8.6,9.3,8.9
39,Medal of Honor: Allied Assault,Jan 20,2002,T,Action,Electronic Arts,2015,91,8.6,8.4,8.3
40,Dishonored,Oct  9,2012,M,Action Adventure,Bethesda Softworks,Arkane Studios,91,8.4,9.2,8.9
41,World of Warcraft: Wrath of the Lich King,Nov 13,2008,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,91,7.5,9,8.8
42,World of Warcraft: Wrath of the Lich King,Nov 13,2008,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,91,7.5,9,8.7
43,Baldur's Gate,Nov 30,1998,T,Role-Playing,Interplay,BioWare,91,9,9.4,9
44,F1 Challenge '99-'02,Jun 24,2003,E,Driving,Electronic Arts,Electronic Arts,91,8.3,9.5,8.5
45,Overwatch,May 23,2016,T,General,Blizzard Entertainment,Blizzard Entertainment,91,6.8,9.4,8.6
46,FreeSpace 2,Sep 30,1999,E,Simulation,Interplay,Volition Inc.,91,8.9,8.9,9.3
47,IL-2 Sturmovik,Nov 18,2001,T,Simulation,Ubisoft,1C 1C Company,91,8.8,8.3,8.3
48,Metal Gear Solid V: The Phantom Pain,Sep  1,2015,M,Action Adventure,Konami,Kojima Productions,91,7.7,10,8.3
49,Crysis,Nov 13,2007,M,Action,EA Games,Crytek,91,8,9.4,8.9
50,World of Warcraft: The Burning Crusade,Jan 16,2007,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,91,7.9,8.8,8.7
51,The Longest Journey,Nov 16,2000,M,Adventure,Funcom,Funcom,91,8.9,9.3,9
52,Tony Hawk's Pro Skater 2,Oct 31,2000,T,Sports,Activision,Neversoft Entertainment,91,8.5,9.3,8.6
53,Tiger Woods PGA Tour 2005,Sep 20,2004,E,Sports,EA Sports,Headgate,91,4.7,9,8.8
54,Batman: Arkham Asylum,Sep 15,2009,T,Action Adventure,Eidos Interactive,Rocksteady Studios,91,8.7,9.3,9.1
55,Galactic Civilizations II: Dark Avatar,Feb 14,2007,,Strategy,Stardock,Stardock,91,8.3,9,8.8
56,Galactic Civilizations II: Dark Avatar,Feb 14,2007,,Strategy,Stardock,Stardock,91,8.3,9,8.8
57,Battlefield 2,Jun 21,2005,T,Action,EA Games,Digital Illusions,91,8.4,8.9,9
58,Street Fighter IV,Jul  1,2009,T,Action,Capcom,Capcom,91,8,8.9,8.5
59,Fallout 3,Oct 28,2008,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios,91,7.9,9.6,9.1
60,Batman: Arkham City,Nov 22,2011,T,Action Adventure,Warner Bros. Interactive Entertainment,Rocksteady Studios,91,8.6,9.5,9.2
61,Fez,May  1,2013,E,Action,Trapdoor,Polytron Corp.,91,6.6,9.5,8.7
62,Planescape: Torment,Dec 14,1999,T,Role-Playing,Interplay,Black Isle Studios,91,9.2,9.2,9
63,Neverwinter Nights,Jun 16,2002,T,Role-Playing,Atari,BioWare,91,8.2,9,8.8
64,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,Sep 30,2002,M,Action,Sierra Entertainment,Monolith Productions,91,8.7,9,8.9
65,Dragon Age: Origins,Nov  3,2009,M,Role-Playing,Electronic Arts,BioWare,91,8.6,9,9.1
66,Mark of the Ninja,Oct 16,2012,M,Action,Microsoft Game Studios,Klei Entertainment,91,8,9,8.8
67,Dark Souls II,Apr 25,2014,T,Role-Playing,Bandai Namco Games,From Software,91,7.1,9,8
68,Call of Duty,Oct 29,2003,T,Action,Activision,Infinity Ward,91,8.5,9.3,8.9
69,Madden NFL 2004,Aug 12,2003,E,Sports,EA Sports,EA Tiburon,91,8,9.3,8.9
70,The Sims 2,Sep 14,2004,T,Simulation,EA Games,Maxis,90,8.8,9.4,8.9
71,World of Goo,Oct 21,2008,E,Miscellaneous,Take-Two Interactive,2D Boy,90,8.5,9,8.7
72,Return to Castle Wolfenstein: Enemy Territory,May 29,2003,,Action,Activision,Splash Damage,90,9,8.5,8.7
73,Black & White,Mar 26,2001,T,Strategy,EA Games,Lionhead Studios,90,7.7,9.7,8.3
74,Spelunky,Aug  8,2013,,Action,Mossmouth,Derek Yu,90,7.2,9,7.8
75,NHL 2001,Sep 28,2000,E,Sports,EA Sports,EA Sports,90,6.9,9,8.6
76,Deus Ex,Jun 26,2000,M,Action Adventure,Eidos Interactive,Ion Storm,90,9.3,9.4,9.1
77,Tony Hawk's Pro Skater 3,Mar 28,2002,T,Sports,Activision,Gearbox Software,90,8.5,9.3,8.5
78,Half-Life 2: Episode Two,Oct 10,2007,M,Action,Valve Software,Valve Software,90,9.2,9.4,9.2
79,The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,Dec  8,2004,M,Action,VU Games,Starbreeze,90,8.7,8.8,8.7
80,Sid Meier's Civilization III,Oct 30,2001,E,Strategy,Infogrames,Firaxis Games,90,8.4,9.3,8.8
81,NBA 2K13,Oct  2,2012,E,Sports,2K Sports,Visual Concepts,90,6.7,9.1,8.5
82,Silent Hunter III,Mar 15,2005,T,Simulation,Ubisoft,Ubisoft,90,7.9,8.8,8.5
83,Sid Meier's Civilization V,Sep 21,2010,E10+,Strategy,2K Games,Firaxis Games,90,7.9,9,8.8
84,Deus Ex: Human Revolution,Aug 23,2011,M,Action,Eidos Interactive,Nixxes Software,90,8.5,9,8.8
85,Flight Simulator 2002,Oct 19,2001,E,Simulation,Microsoft Game Studios,Microsoft Game Studios,90,8.4,9,8.4
86,Brothers: A Tale of Two Sons,Sep  3,2013,T,Action Adventure,505 Games,Starbreeze,90,8.5,8.2,8.8
87,Dota 2,Jul  9,2013,,Strategy,Valve Software,Valve Software,90,6.2,9.4,6.4
88,Guild Wars 2,Aug 28,2012,T,Role-Playing,NCSOFT,ArenaNet,90,7.9,9,8.9
89,Freedom Force,Mar 24,2002,T,Role-Playing,Crave,Irrational Games,90,8.1,9.3,8.6
90,GTR 2,Sep 29,2006,E,Driving,10tacle Studios,SimBin,90,8.7,9.2,8.7
91,Grand Theft Auto IV,Dec  2,2008,M,Action Adventure,Rockstar Games,Rockstar Toronto,90,6.6,9.2,8.7
92,Total War: Shogun 2,Mar 15,2011,T,Strategy,Sega,Creative Assembly,90,8.3,9,8.8
93,Empire: Total War,Mar  3,2009,T,Strategy,Sega,Creative Assembly,90,6.9,9.5,8.7
94,The Witcher 3: Wild Hunt - Hearts of Stone,Oct 13,2015,M,Role-Playing,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,89,8.9,9,9.4
95,Star Wars Jedi Knight II: Jedi Outcast,Mar 26,2002,T,Action,LucasArts,Raven Software,89,8.7,9,8.8
96,Age of Mythology,Nov  1,2002,T,Strategy,Microsoft Game Studios,Ensemble Studios,89,8.9,9.3,8.8
97,Sacrifice,Nov  5,2000,M,Strategy,Interplay,Shiny Entertainment,89,8.8,9.4,8.8
98,Dark Souls III,Apr 11,2016,M,Role-Playing,Bandai Namco Games,From Software,89,8.5,9.5,8.1
99,The Elder Scrolls III: Morrowind,May  1,2002,T,Role-Playing,Bethesda Softworks,Bethesda Softworks,89,9,9.4,9
100,Rocksmith 2014 Edition,Oct 22,2013,T,Action,Ubisoft,Ubisoft,89,8,9,8.8
101,Left 4 Dead,Nov 18,2008,M,Action,Electronic Arts,Valve Software,89,9.2,9,8.8
102,Left 4 Dead 2,Nov 17,2009,M,Action,Electronic Arts,Valve Software,89,8.5,9,8.7
103,NASCAR Racing 2002 Season,Feb 14,2002,E,Driving,Sierra Entertainment,Papyrus,89,5.8,8.9,8.5
104,Mass Effect,May 28,2008,M,Role-Playing,Electronic Arts,BioWare Demiurge Studios,89,8.6,9.2,9.1
105,Homeworld: Cataclysm,Sep  7,2000,E,Strategy,Sierra Entertainment,Barking Dog,89,8.9,9.2,8.7
106,Combat Mission: Barbarossa to Berlin,Oct 29,2002,T,Strategy,Battlefront.com,Big Time Software,89,8.3,9,8.4
107,Guild Wars,Apr 26,2005,T,Role-Playing,NCSOFT,ArenaNet,89,8.4,9,8.7
108,The Walking Dead: Episode 5 - No Time Left,Nov 21,2012,M,Miscellaneous,Telltale Games,Telltale Games,89,8.9,9.5,9.2
109,Borderlands 2,Sep 18,2012,M,Action,2K Games,Gearbox Software,89,8.2,9,8.8
110,Max Payne,Jul 23,2001,M,Action,Gathering,Remedy Entertainment,89,9.1,9.3,9
111,Out of the Park Baseball 15,Apr 21,2014,,Sports,Out Of The Park Developments,,89,7.2,8.5,7.5
112,World in Conflict,Sep 18,2007,T,Strategy,Sierra Entertainment,Massive Entertainment,89,8.1,9.3,8.7
113,NASCAR Racing 4,Feb  6,2001,E,Driving,Sierra Entertainment,Papyrus,89,8,9.2,8.6
114,Far Cry,Mar 23,2004,M,Action,Ubisoft,Crytek,89,8.1,9.2,8.8
115,XCOM: Enemy Unknown,Oct  9,2012,M,Strategy,2K Games,Firaxis Games,89,8.2,8.2,8.7
116,Mass Effect 3,Mar  6,2012,M,Role-Playing,Electronic Arts,BioWare,89,5.5,9.5,9
117,Rise of Nations,May 20,2003,T,Strategy,Microsoft Game Studios,Big Huge Games,89,9,8.2,8.6
