,Unnamed: 0,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_release_day,ltable_release_year,ltable_esrb,ltable_genre,ltable_publisher,ltable_developer,rtable_title,rtable_release_day,rtable_release_year,rtable_esrb,rtable_genre,rtable_publisher,rtable_developer
0,43,43,0.7272727272727273,1099,779,The Sims 3: Ambitions,June 29,2010,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: World Adventures,Nov 16,2009,T,Simulation,Electronic Arts,The Sims Studio
1,49,49,0.7272727272727273,1665,779,The Sims 3: Pets,October 18,2011,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: World Adventures,Nov 16,2009,T,Simulation,Electronic Arts,The Sims Studio
2,58,58,0.7272727272727273,852,1166,The Sims 3: World Adventures,November 17,2009,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Pets,Oct 18,2011,T,Simulation,Electronic Arts,The Sims Studio
3,59,59,0.7272727272727273,354,1837,The Sims 3 (Collector's Edition),June 2,2009,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3 Supernatural,Sep  4,2012,T,Simulation,Electronic Arts,The Sims Studio
4,61,61,0.7272727272727273,1738,2892,The Sims 3: Late Night,October 26,2010,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Showtime,Mar  6,2012,T,Simulation,Electronic Arts,The Sims Studio
5,83,83,0.7,2021,1481,The Sims 3: Generations,May 31,2011,T,Simulation,Electronic Arts,The Sims Studio,The Sims Medieval,Mar 22,2011,T,Simulation,Electronic Arts,The Sims Studio
6,89,89,0.7,1337,2825,Fallout 4: Nuka World,August 29,2016,M,RPG,Bethesda  Softworks,Bethesda Game Studios,Fallout 4: Automatron,Mar 22,2016,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios
7,94,94,0.7,729,75,Fallout 3 -- Broken Steel,May 5,2009,M,Action,Bethesda  Softworks,Bethesda Game Studios,Fallout 3,Oct 28,2008,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios
8,156,156,0.6666666666666666,59,84,Call of Duty 4: Modern Warfare,November 5,2007,M,Shooter,Activision,Infinity Ward,Call of Duty,Oct 29,2003,T,Action,Activision,Infinity Ward
9,164,164,0.6666666666666666,1143,1941,Costume Quest,October 14,2011,E10+,RPG,Double Fine Productions,Double Fine Productions,Headlander,Jul 26,2016,T,Action,Double Fine Productions,Double Fine Productions
10,173,173,0.6666666666666666,2678,524,Defiance,April 2,2013,M,Action,Trion Worlds,Trion Worlds,Rift,Mar  1,2011,T,Role-Playing,Trion Worlds,Trion Worlds
11,179,179,0.6666666666666666,1525,2951,The Path,March 18,2009,,Action,Tale of Tales,Tale of Tales,Sunset,May 21,2015,,Modern,Tale of Tales,Tale of Tales
12,184,184,0.6666666666666666,2380,2050,KickBeat,January 20,2014,T,Music,Zen Studios,Zen Studios,CastleStorm,Jul 29,2013,T,Strategy,Zen Studios,Zen Studios
13,190,190,0.6666666666666666,17,165,Rayman Origins,March 29,2012,E10+,Platformer,Ubisoft,Ubisoft Montpellier,Rayman Legends,Sep  3,2013,E10+,Action,Ubisoft,Ubisoft Montpellier
14,199,199,0.6363636363636364,354,1481,The Sims 3 (Collector's Edition),June 2,2009,T,Simulation,Electronic Arts,The Sims Studio,The Sims Medieval,Mar 22,2011,T,Simulation,Electronic Arts,The Sims Studio
15,203,203,0.6363636363636364,3200,3599,Industry Giant,Jan 1,2001,E,Strategy,JoWooD Entertainment AG,JoWooD Entertainment AG,Maximum Capacity: Hotel Giant,Jun 24,2002,T,Strategy,JoWooD Entertainment AG,JoWooD Entertainment AG
16,241,241,0.625,1679,1279,Penumbra: Requiem,August 27,2008,M,Action,Paradox  Interactive,Frictional Games,Penumbra: Black Plague,Feb 13,2008,M,Action Adventure,Paradox Interactive,Frictional Games
17,262,262,0.625,871,2495,The Sims 2: FreeTime,February 28,2008,T,Simulation,Electronic Arts,Maxis,The Sims 4,Sep  2,2014,T,Virtual Life Games,Electronic Arts,Maxis
18,270,270,0.625,1852,1297,The Sims Online,Dec 17,2002,T,Simulation,Electronic Arts,Maxis,The Sims 2 Seasons,Feb 27,2007,T,Miscellaneous,Electronic Arts,Maxis
19,281,281,0.625,22,2919,The Sims,Feb 4,2000,T,Simulation,Electronic Arts,Maxis,The Sims 4: Outdoor Retreat,Jan 13,2015,T,Simulation,Electronic Arts,Maxis
20,289,289,0.625,1572,447,Doom 3: BFG Edition,October 16,2012,RP-M+,RPG,Bethesda  Softworks,Id Software,DOOM,May 13,2016,M,Sci-Fi,Bethesda Softworks,id Software
21,313,313,0.6153846153846154,1623,1789,The Sims 3: Seasons,November 13,2012,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Late Night Expansion Pack,Oct 26,2010,T,Simulation,Electronic Arts,The Sims Studio
22,319,319,0.6153846153846154,807,1991,Final Fantasy XI: Treasures of Aht Urhgan,April 18,2006,T,RPG,Square Enix,Square Enix,Final Fantasy XI: Chains of Promathia,Sep 21,2004,T,Role-Playing,Square Enix,Square Enix
23,323,323,0.6153846153846154,3048,1789,The Sims 3: Supernatural,September 4,2012,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Late Night Expansion Pack,Oct 26,2010,T,Simulation,Electronic Arts,The Sims Studio
24,335,335,0.6,2013,3208,Darkspore,April 26,2011,T,Action,Electronic Arts,Maxis,SimCity,Mar  5,2013,E10+,Miscellaneous,Electronic Arts,Maxis
25,345,345,0.6,1143,2066,Costume Quest,October 14,2011,E10+,RPG,Double Fine Productions,Double Fine Productions,Massive Chalice,Jun  1,2015,T,Strategy,Double Fine Productions,Double Fine Productions
26,363,363,0.6,89,1941,Grim Fandango Remastered,January 27,2015,T,Adventure,Double Fine Productions,Double Fine Productions,Headlander,Jul 26,2016,T,Action,Double Fine Productions,Double Fine Productions
27,369,369,0.6,1257,1631,Poker Night at the Inventory,November 22,2010,,Card,Telltale Games,Telltale Games,Poker Night 2,Apr 26,2013,M,Miscellaneous,Telltale Games,Telltale Games
28,379,379,0.6,2326,2831,BlackSite: Area 51,November 12,2007,T,Shooter,Midway  Games,Midway Studios -- Austin,Area 51,Jun  8,2005,M,Action,Midway,Midway Studios - Austin
29,383,383,0.6,158,31,World of Warcraft,November 22,2004,T,RPG,Blizzard Entertainment,Blizzard Entertainment,Warcraft III: Reign of Chaos,Jul  3,2002,T,Strategy,Blizzard Entertainment,Blizzard Entertainment
30,412,412,0.6,426,152,FIFA 2001: Major League Soccer,Oct 31,2000,E,Sports,Electronic Arts,Electronic Arts,FIFA Soccer 12,Sep 27,2011,E,Sports,Electronic Arts,Electronic Arts
31,424,424,0.6,931,75,Fallout 4: Vault-Tec Workshop,July 26,2016,M,RPG,Bethesda  Softworks,Bethesda Game Studios,Fallout 3,Oct 28,2008,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios
32,435,435,0.5833333333333334,964,580,EverQuest II: Desert of Flames,September 12,2005,T,RPG,Sony Online Entertainment,Sony Online Entertainment,EverQuest II,Nov  8,2004,T,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
33,442,442,0.5833333333333334,1880,3599,Industry Giant II,Summer ,2002,E,Simulation,JoWooD Entertainment AG,JoWooD Entertainment AG,Maximum Capacity: Hotel Giant,Jun 24,2002,T,Strategy,JoWooD Entertainment AG,JoWooD Entertainment AG
34,458,458,0.5833333333333334,1076,1946,Sherlock Holmes Versus Jack the Ripper,May 22,2009,T,Adventure,Focus Home Interactive,Frogwares,The Testament of Sherlock Holmes,Sep 25,2012,M,Adventure,Focus Home Interactive,Frogwares
35,466,466,0.5789473684210527,1318,675,Tales of Monkey Island -- Chapter 2: The Siege of Spinner Cay,August 20,2009,E10+,Adventure,Telltale Games,Telltale Games,Tales of Monkey Island Chapter 3: Lair of the Leviathan,Sep 29,2009,E10+,Adventure,Telltale Games,Telltale Games
36,471,471,0.5714285714285714,247,52,World of Warcraft: Warlords of Draenor,November 13,2014,,RPG,Blizzard Entertainment,Blizzard Entertainment,World of Warcraft: Wrath of the Lich King,Nov 13,2008,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment
37,473,473,0.5714285714285714,1816,2756,Nancy Drew: Ransom of the Seven Ships,July 14,2009,E,Adventure,Her Interactive,Her Interactive,Nancy Drew: The Creature of Kapu Cave,Oct 19,2006,E,Adventure,Her Interactive,Her Interactive
38,476,476,0.5714285714285714,274,271,World of Warcraft: Wrath of the Lich King,November 13,2008,T,RPG,Blizzard Entertainment,Blizzard Entertainment,World of Warcraft: Warlords of Draenor,Nov 13,2014,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment
39,478,478,0.5714285714285714,363,2642,Praetorians,March 11,2003,T,Strategy,Eidos Interactive,Pyro Studios,Imperial Glory,May 17,2005,T,Strategy,Eidos Interactive,Pyro Studios
40,494,494,0.5714285714285714,1017,982,Machinarium,October 16,2009,E10+,Adventure,Amanita Design,Amanita Design,Samorost 3,Mar 24,2016,,Adventure Games,Amanita Design,Amanita Design
41,503,503,0.5714285714285714,1816,796,Nancy Drew: Ransom of the Seven Ships,July 14,2009,E,Adventure,Her Interactive,Her Interactive,Nancy Drew: The Haunting of Castle Malloy,Oct 16,2008,E,Adventure,Her Interactive,Her Interactive
42,507,507,0.5714285714285714,2997,1896,Tharsis,January 11,2016,M,Strategy,Gaijin Games,Gaijin Games,Bit.Trip Fate,Jul 11,2013,,Action,Gaijin Games,Gaijin Games
43,522,522,0.5714285714285714,55,1439,Deus Ex,Jun 22,2000,M,RPG,Eidos Interactive,Ion Storm,Anachronox,Jun 27,2001,T,Role-Playing,Eidos Interactive,Ion Storm
44,533,533,0.5714285714285714,1816,1053,Nancy Drew: Ransom of the Seven Ships,July 14,2009,E,Adventure,Her Interactive,Her Interactive,Nancy Drew: Secret of the Old Clock,Jul 26,2005,E,Adventure,Her Interactive,Her Interactive
45,542,542,0.5714285714285714,2071,1321,Nancy Drew: The Phantom of Venice,July 8,2008,E,Adventure,Her Interactive,Her Interactive,Nancy Drew: The Ransom of the Seven Ships,Jul 14,2009,E,Adventure,Her Interactive,Her Interactive
46,549,549,0.5555555555555556,64,2209,The Sims 2,September 14,2004,T,Simulation,Electronic Arts,Maxis,The Sims 4: Get Together,Dec  8,2015,T,Simulation,Electronic Arts,Maxis
47,559,559,0.5555555555555556,318,3215,Sid Meier's Civilization V,September 21,2010,E10+,Strategy,2K Games,Firaxis,Sid Meier's Starships,Mar 12,2015,,Strategy,2K Games,Firaxis Games
48,570,570,0.5555555555555556,18,671,Empire: Total War,March 3,2009,T,Strategy,SEGA,Creative Assembly,Rome: Total War Barbarian Invasion,Sep 27,2005,T,Strategy,Sega,Creative Assembly
49,611,611,0.5555555555555556,64,2919,The Sims 2,September 14,2004,T,Simulation,Electronic Arts,Maxis,The Sims 4: Outdoor Retreat,Jan 13,2015,T,Simulation,Electronic Arts,Maxis
50,623,623,0.5555555555555556,22,2042,The Sims,Feb 4,2000,T,Simulation,Electronic Arts,Maxis,The Sims 4: Get to Work,Mar 31,2015,T,Simulation,Electronic Arts,Maxis
51,630,630,0.5555555555555556,573,1640,FIFA Soccer 2005,October 12,2004,E,Sports,Electronic Arts,Electronic Arts,FIFA Manager 11,Nov  3,2010,E,Sports,Electronic Arts,Electronic Arts
52,640,640,0.55,855,1102,Tales of Monkey Island -- Chapter 5: Rise of the Pirate God,December 8,2009,E10+,Adventure,Telltale Games,Telltale Games,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,Jul  7,2009,E10+,Adventure,Telltale Games,Telltale Games
